,Id,Sentiment,Pasangan Calon,Text Tweet,clean_teks
0,1,negative,Agus-Sylvi,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun kloning dukung agussilvy serang paslon aniessandi opini argumen pmbenaranjangan kecoh
1,2,negative,Agus-Sylvi,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,agussilvy bicara kasihan yaalap air mata wkwkwkwk
2,3,negative,Agus-Sylvi,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,sih nunggu hasil qc nunggu motif cuit sbyudhoyono pasca agussilvy nyungsep
3,4,negative,Agus-Sylvi,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasihan oh kasihan peluru milyar rw agussilvy mempan menangin pilkada quickcount pilkadaserentak
4,5,negative,Agus-Sylvi,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,maaf ya dukung agussilvyhayo dukung aniessandi putar ronavioleta netizentofa
5,6,negative,Agus-Sylvi,"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy",aneh deh lebay sangkut paut kandidat calgub lebay dukung agussilvy
6,7,negative,Agus-Sylvi,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,allah subhanahu wata ala ucap syukur sbyudhoyono presidensby ahy terimakasih makna suara
7,8,negative,Agus-Sylvi,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,terima kasih untuk dukung ahy sylvi kalian beda kali
8,9,negative,Agus-Sylvi,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,trima kasih keistiqomahan rawan ahy agusyudhoyono antar aniessandidki jakartagubernurbaru signifikan
9,10,negative,Agus-Sylvi,Mengenang pidato kekalahan #ahy,kenang pidato kalah ahy
10,11,negative,Agus-Sylvi,"dammnn,!! politik cantik #SBY ngorbanin #AHY",politik cantik sby ngorbanin ahy
11,12,negative,Agus-Sylvi,"Batal nyoblos, baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing	",batal nyoblos tau nomor kertas suara ahy kangen mosing
12,13,negative,Agus-Sylvi,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,tertawa survey mu panggang api ahy
